C:\Users\PC\Desktop\Data\IMG\center_2021_01_11_19_51_57_927.jpg, C:\Users\PC\Desktop\Data\IMG\left_2021_01_11_19_51_57_927.jpg, C:\Users\PC\Desktop\Data\IMG\right_2021_01_11_19_51_57_927.jpg, 0, 0, 0, 1.86829
C:\Users\PC\Desktop\Data\IMG\center_2021_01_11_19_51_58_030.jpg, C:\Users\PC\Desktop\Data\IMG\left_2021_01_11_19_51_58_030.jpg, C:\Users\PC\Desktop\Data\IMG\right_2021_01_11_19_51_58_030.jpg, 0, 0, 0, 1.845815
C:\Users\PC\Desktop\Data\IMG\center_2021_01_11_19_51_58_137.jpg, C:\Users\PC\Desktop\Data\IMG\left_2021_01_11_19_51_58_137.jpg, C:\Users\PC\Desktop\Data\IMG\right_2021_01_11_19_51_58_137.jpg, 0, 0, 0, 1.827292
C:\Users\PC\Desktop\Data\IMG\center_2021_01_11_19_51_58_249.jpg, C:\Users\PC\Desktop\Data\IMG\left_2021_01_11_19_51_58_249.jpg, C:\Users\PC\Desktop\Data\IMG\right_2021_01_11_19_51_58_249.jpg, 0, 0, 0, 1.808955
C:\Users\PC\Desktop\Data\IMG\center_2021_01_11_19_51_58_352.jpg, C:\Users\PC\Desktop\Data\IMG\left_2021_01_11_19_51_58_352.jpg, C:\Users\PC\Desktop\Data\IMG\right_2021_01_11_19_51_58_352.jpg, 0, 0, 0, 1.787194
C:\Users\PC\Desktop\Data\IMG\center_2021_01_11_19_51_58_457.jpg, C:\Users\PC\Desktop\Data\IMG\left_2021_01_11_19_51_58_457.jpg, C:\Users\PC\Desktop\Data\IMG\right_2021_01_11_19_51_58_457.jpg, 0, 0, 0, 1.76926
C:\Users\PC\Desktop\Data\IMG\center_2021_01_11_19_51_59_843.jpg, C:\Users\PC\Desktop\Data\IMG\left_2021_01_11_19_51_59_843.jpg, C:\Users\PC\Desktop\Data\IMG\right_2021_01_11_19_51_59_843.jpg, 0, 0.3542853, 0, 6.077682
C:\Users\PC\Desktop\Data\IMG\center_2021_01_11_19_51_59_950.jpg, C:\Users\PC\Desktop\Data\IMG\left_2021_01_11_19_51_59_950.jpg, C:\Users\PC\Desktop\Data\IMG\right_2021_01_11_19_51_59_950.jpg, 0, 0, 0, 6.212246
C:\Users\PC\Desktop\Data\IMG\center_2021_01_11_19_52_00_061.jpg, C:\Users\PC\Desktop\Data\IMG\left_2021_01_11_19_52_00_061.jpg, C:\Users\PC\Desktop\Data\IMG\right_2021_01_11_19_52_00_061.jpg, 0, 0, 0, 6.149893
C:\Users\PC\Desktop\Data\IMG\center_2021_01_11_19_52_00_166.jpg, C:\Users\PC\Desktop\Data\IMG\left_2021_01_11_19_52_00_166.jpg, C:\Users\PC\Desktop\Data\IMG\right_2021_01_11_19_52_00_166.jpg, 0, 0, 0, 6.088172
